frame,track_id,x1,y1,x2,y2
125,12,378,181,406,260
125,8,597,129,621,193
125,6,573,125,598,189
126,28,636,208,678,298
126,27,549,216,581,300
126,23,151,73,167,110
126,14,665,125,688,196
126,12,380,181,406,260
126,8,599,129,622,192
126,6,576,124,600,188
127,28,629,208,673,297
127,27,557,217,587,301
127,23,148,74,164,110
127,14,667,124,690,195
127,12,380,180,406,260
127,8,601,129,623,192
127,6,579,125,603,187
128,28,622,205,662,293
128,27,566,220,599,304
128,23,144,74,160,111
128,14,670,122,694,192
128,12,381,181,406,261
128,8,605,128,628,189
128,6,583,124,607,186
129,28,610,204,652,291
129,27,576,221,607,305
129,23,141,75,156,112
129,14,672,121,698,191
129,12,382,181,406,261
129,8,608,126,630,187
129,6,586,123,610,185
130,28,605,204,646,292
130,27,585,222,615,305
130,23,139,76,154,113
130,14,675,121,700,190
130,12,382,181,406,262
130,8,610,126,632,186
130,6,587,121,612,184
131,27,595,223,629,307
131,23,134,76,149,113
131,14,680,120,704,189
131,12,381,182,406,262
131,8,615,125,637,185
131,6,590,120,614,182
132,28,584,201,622,287
132,27,600,224,637,308
132,23,131,77,147,114
132,14,683,119,706,187
132,12,381,183,406,262
132,8,618,125,642,185
132,6,593,120,616,181
133,28,576,200,615,285
133,27,609,225,644,308
133,23,129,78,145,115
133,14,687,118,709,186
133,12,380,183,406,263
133,8,620,125,645,184
133,6,596,119,619,180
134,28,569,199,609,284
134,27,619,225,650,308
134,23,127,79,143,116
134,14,689,118,712,186
134,12,379,184,404,263
134,8,621,124,647,183
134,6,597,119,620,179
135,29,725,242,762,357
135,28,563,199,603,283
135,27,626,226,659,310
135,23,123,78,139,116
135,14,690,118,714,185
135,12,379,184,404,264
135,8,623,123,648,183
135,6,599,118,622,179
136,29,717,242,761,355
136,28,559,195,599,279
136,27,632,227,669,311
136,23,120,79,136,116
136,14,693,117,716,185
136,12,379,185,404,265
136,8,624,123,648,183
136,6,600,118,624,179
137,29,713,243,754,350
137,28,555,194,594,277
137,27,635,227,674,312
137,23,118,80,135,118
137,14,696,116,718,184
137,12,380,185,404,266
137,8,625,122,649,181
137,6,603,117,626,178
138,29,699,243,739,346
138,28,542,193,583,276
138,27,651,226,686,311
138,23,114,81,130,119
138,14,698,115,722,183
138,12,382,185,407,266
138,8,627,121,650,180
138,6,606,116,629,177
139,29,689,243,730,346
139,28,536,191,576,274
139,27,661,227,696,312
139,23,111,81,127,119
139,14,700,115,724,182
139,12,383,184,409,265
139,8,629,121,652,179
139,6,609,115,632,176
140,29,682,239,724,343
140,28,530,190,568,271
140,27,664,228,700,313
140,23,109,82,125,119
140,14,702,115,726,182
140,12,384,183,411,265
140,8,632,121,654,178
140,6,612,115,634,175
141,31,431,177,454,222
141,29,674,234,714,338
141,28,517,189,556,270
141,27,676,234,710,317
141,23,105,82,121,120
141,14,704,113,727,180
141,12,385,183,411,266
141,8,636,119,659,176
141,6,615,114,637,174
142,29,661,235,702,337
142,28,509,189,549,270
142,27,690,230,721,313
142,23,102,82,117,120
142,14,706,111,728,179
142,12,385,184,411,266
142,8,639,118,661,174
142,6,618,114,640,173
143,29,653,235,697,336
143,28,502,188,542,268
143,23,99,83,114,121
143,14,707,111,729,178
143,12,385,185,410,267
143,8,641,117,663,173
143,6,620,113,642,173
144,29,646,234,685,333
144,28,495,184,534,264
144,23,95,85,110,123
144,14,709,111,731,179
144,12,385,186,409,269
144,8,643,115,665,172
144,6,623,112,644,172
145,33,710,230,750,312
145,29,637,233,674,330
145,28,485,184,525,263
145,23,92,85,107,124
145,14,709,110,732,179
145,12,385,187,409,270
145,8,643,114,667,171
145,6,625,111,646,170
146,33,722,232,758,310
146,29,629,231,666,329
146,28,480,182,520,262
146,23,90,86,104,124
146,14,710,110,733,178
146,12,385,188,409,271
146,8,644,114,667,171
146,6,627,111,648,170
147,33,732,233,767,311
147,29,619,230,656,325
147,28,470,181,509,260
147,23,86,86,101,125
147,14,710,109,732,177
147,12,385,189,409,272
147,8,646,113,669,170
147,6,630,110,651,169
148,33,736,235,769,312
148,29,611,229,647,324
148,28,461,179,500,259
148,23,83,87,98,126
148,14,711,109,732,177
148,12,386,190,410,273
148,8,648,114,670,170
148,6,632,110,653,169
149,33,744,237,772,310
149,29,606,228,640,322
149,28,455,179,494,258
149,23,79,88,94,126
149,14,712,109,731,176
149,12,388,192,412,275
149,8,651,114,673,170
149,6,633,109,654,168
150,35,437,186,460,275
150,29,593,227,632,321
150,28,447,177,483,255
150,23,74,89,91,128
150,14,712,109,730,176
150,12,388,193,413,276
150,8,655,113,677,169
150,6,635,108,656,166
151,35,441,190,463,275
151,29,586,225,625,319
151,28,439,183,474,264
151,23,70,90,87,129
151,14,711,110,729,176
151,12,388,195,415,278
151,8,657,112,680,167
151,6,636,107,657,165
152,35,442,191,466,277
152,29,579,224,615,316
152,23,67,90,84,130
152,14,710,110,728,176
152,12,388,196,415,280
152,8,658,112,680,167
152,6,638,107,658,165
153,37,29,111,49,141
153,35,444,191,469,279
153,29,569,223,605,316
153,23,64,91,81,131
153,14,705,111,725,177
153,12,392,197,419,281
153,8,660,111,682,167
153,6,640,106,660,164
154,37,29,111,49,140
154,35,445,193,471,281
154,29,562,223,599,314
154,23,61,91,78,131
154,14,704,112,724,176
154,12,396,199,423,282
154,8,663,111,684,166
154,6,641,107,662,164
155,37,29,111,49,140
155,35,445,195,472,284
155,29,556,221,591,311
155,23,58,91,75,131
155,12,400,203,426,285
155,8,664,110,685,165
155,6,643,106,663,163
156,37,29,112,49,140
156,35,449,197,476,286
156,29,545,220,579,310
156,23,54,92,70,133
156,8,667,110,688,163
156,6,645,106,665,163
157,38,690,116,712,175
157,37,29,112,49,140
157,35,452,199,480,287
157,29,535,220,573,309
157,23,51,94,68,134
157,8,669,110,691,163
157,6,646,106,666,162
158,38,682,115,707,179
158,37,30,112,51,140
158,35,459,199,491,288
158,29,526,219,564,308
158,23,48,94,64,134
158,8,673,109,693,162
158,6,650,105,670,161
159,40,367,173,406,251
159,38,676,112,703,180
159,37,29,112,50,140
159,35,461,199,497,288
159,29,517,219,554,307
159,23,45,94,61,135
159,6,652,104,672,160
160,40,362,172,398,248
160,38,675,111,701,180
160,35,462,200,500,289
160,29,510,219,546,307
160,23,43,95,59,136
160,6,654,104,673,160
161,40,349,170,385,246
161,38,671,110,699,181
161,35,469,201,505,289
161,29,502,219,540,307
161,6,657,103,677,160
162,41,28,98,52,137
162,40,341,170,378,246
162,38,666,107,698,183
162,35,475,201,509,289
162,29,496,219,532,306
162,6,658,103,680,159
163,42,435,208,469,294
163,41,29,99,50,137
163,40,335,169,372,245
163,38,660,105,694,184
163,35,481,204,517,298
163,6,659,103,680,159
164,42,438,209,469,293
164,41,29,100,48,137
164,40,330,169,365,243
164,38,658,103,692,183
164,29,481,210,517,302
165,43,684,105,707,158
165,42,442,210,471,291
165,41,28,101,46,137
165,40,325,169,359,242
165,38,656,102,688,183
165,29,471,209,512,305
166,43,686,106,708,157
166,42,447,212,473,292
166,41,27,104,46,139
166,40,315,169,351,242
166,38,652,103,686,184
166,29,463,214,503,307
167,43,688,107,709,157
167,42,449,216,472,292
167,40,308,168,344,241
167,29,451,212,491,306
168,43,689,107,711,158
168,41,29,111,46,140
168,40,300,167,335,240
168,29,446,212,484,306
169,49,643,121,664,186
169,48,668,101,690,158
169,46,509,205,546,296
169,43,692,108,713,157
169,41,31,113,47,140
169,40,290,168,326,240
169,29,441,210,483,305
170,49,640,122,660,187
170,48,669,101,691,157
170,46,510,206,551,297
170,43,694,108,715,156
170,41,31,113,47,140
170,40,284,167,319,239
170,29,434,212,475,306
171,53,5,102,21,145
171,49,636,122,657,189
171,48,670,101,692,157
171,46,513,207,553,297
171,43,695,108,715,155
171,41,30,113,47,139
171,40,278,166,313,238
171,29,430,213,470,306
172,53,0,104,16,146
172,49,630,122,654,192
172,48,671,100,694,157
172,46,526,208,563,296
172,43,696,107,715,154
172,40,267,165,303,237
172,29,425,219,462,308
173,54,454,207,489,300
173,53,-1,104,14,146
173,49,626,123,652,193
173,48,672,99,695,157
173,46,534,209,569,297
173,43,697,107,716,154
173,41,30,113,47,140
173,40,260,165,298,237
173,29,417,222,456,308
174,54,454,208,491,301
174,53,-1,105,13,146
174,49,622,122,648,193
174,48,672,99,695,157
174,46,539,210,574,298
174,43,697,107,717,154
174,40,253,164,289,235
175,54,456,209,496,303
175,49,615,123,641,195
175,48,673,99,696,157
175,46,544,212,579,301
175,43,697,107,718,155
175,40,243,164,279,235
175,29,400,224,436,305
176,54,459,212,500,305
176,49,610,124,637,197
176,48,674,99,698,157
176,46,552,213,585,301
176,43,698,107,718,155
176,40,237,163,273,235
176,29,395,217,429,300
177,54,463,213,508,308
177,49,607,125,635,198
177,48,676,99,699,157
177,46,559,213,589,301
177,43,698,106,718,154
177,40,232,162,266,233
177,29,389,215,424,298
178,54,475,216,521,308
178,49,600,126,626,197
178,48,677,99,700,157
178,46,567,214,602,303
178,43,699,106,718,154
178,40,222,162,256,233
178,29,382,211,417,295
179,54,483,217,525,308
179,49,597,127,622,198
179,48,678,99,701,157
179,46,570,215,610,306
179,43,700,106,718,154
179,40,214,162,249,233
179,29,377,211,409,294
180,54,488,219,529,309
180,48,678,98,701,157
180,46,571,216,614,307
180,43,701,105,719,153
180,40,209,162,245,232
180,29,372,210,404,293
181,54,494,221,534,311
181,48,678,99,700,157
181,46,582,216,623,307
181,43,703,105,720,153
181,40,199,161,233,231
181,29,361,209,396,293
182,56,584,131,615,200
182,54,503,221,543,311
182,48,678,98,699,156
182,46,591,217,633,308
182,43,705,105,722,153
182,40,193,161,227,230
182,29,355,209,390,293
183,56,580,132,608,200
183,54,506,222,549,314
183,48,678,99,699,156
183,46,595,218,638,310
183,43,705,105,722,153
183,40,189,162,222,230
183,29,346,209,379,292
184,56,574,133,602,201
184,54,511,226,556,320
184,48,679,98,699,155
184,46,603,221,646,313
184,43,707,104,724,153
184,40,181,160,212,228
184,29,335,208,370,291
185,56,570,134,598,203
185,54,517,228,561,322
185,48,680,98,699,155
185,46,611,223,653,315
185,43,707,104,724,153
185,40,175,159,206,227
185,29,328,207,364,290
186,56,567,135,594,204
186,54,523,228,565,322
186,48,680,98,699,155
186,46,620,223,660,315
186,43,708,104,724,153
186,40,169,160,201,227
186,29,320,208,354,290
187,56,561,136,586,204
187,54,532,231,572,326
187,48,681,98,699,154
187,46,629,224,670,317
187,43,708,104,724,153
187,40,161,158,193,225
187,29,309,207,344,289
188,56,556,136,582,205
188,54,536,233,575,328
188,48,682,99,700,154
188,46,634,225,676,318
188,43,708,104,724,153
188,40,154,158,186,225
188,29,301,207,338,289
189,56,549,137,578,208
189,54,545,235,586,331
189,48,682,97,700,153
189,46,641,226,684,319
189,43,708,103,724,153
189,40,146,158,178,224
189,29,291,203,325,286
190,56,544,137,574,210
190,54,547,238,592,335
190,48,683,97,701,153
190,46,645,227,689,321
190,43,708,103,724,153
190,40,141,158,173,224
190,29,280,202,315,285
191,56,539,137,568,209
191,54,550,240,598,337
191,48,683,97,701,153
191,46,649,229,693,323
191,43,708,103,724,154
191,40,136,156,167,222
191,29,271,203,308,285
192,56,535,137,563,210
192,54,554,243,602,340
192,48,684,97,701,153
192,46,652,230,696,325
192,43,709,103,724,154
192,40,132,155,162,222
192,29,264,202,303,284
193,56,528,139,557,213
193,54,561,244,604,341
193,48,683,96,702,152
193,46,659,234,702,329
193,43,709,103,724,153
193,40,126,155,157,221
193,29,254,199,294,280
194,56,524,140,554,215
194,54,567,248,606,345
194,48,683,95,702,152
194,46,666,235,709,330
194,43,708,103,723,153
194,40,120,155,151,221
195,56,521,141,550,215
195,54,571,251,609,349
195,48,682,95,702,152
195,46,673,237,713,332
195,43,708,104,723,153
195,40,114,154,144,220
196,57,247,195,279,274
196,56,514,142,541,215
196,54,582,253,620,351
196,48,681,95,702,152
196,46,678,241,719,336
196,43,707,104,722,153
196,40,106,154,137,219
